ADM0,CL_DistrictRes,lon,lat,pop
GUINEA,BOFFA,-14.175000000000011,9.766666666666666,240302
GUINEA,BOKE,-14.308333333333337,10.24166666666666,494805
GUINEA,FRIA,-13.583333333333343,10.5,106753
GUINEA,CONAKRY,-13.558333333333337,9.558333333333323,1693456
GUINEA,DABOLA,-10.974999999999994,9.766666666666666,203916
GUINEA,DINGUIRAYE,-10.724999999999994,10.758333333333326,219805
GUINEA,FARANAH,-10.900000000000006,9.208333333333329,312725
GUINEA,KISSIDOUGOU,-10.050000000000011,8.766666666666666,317961
GUINEA,KEROUANE,-9.216666666666669,8.666666666666657,233082
GUINEA,KANKAN,-8.883333333333326,9.708333333333329,529895
GUINEA,KOUROUSSA,-9.958333333333343,10.708333333333329,301529
GUINEA,SIGUIRI,-9.550000000000011,11.10833333333332,764031
GUINEA,COYAH,-13.35833333333332,9.724999999999994,387828
GUINEA,DUBREKA,-13.541666666666657,9.933333333333323,262823
GUINEA,FORECARIAH,-13.091666666666669,8.949999999999989,269514
GUINEA,KINDIA,-12.666666666666657,9.291666666666657,496565
GUINEA,TELIMELE,-13.383333333333326,10.399999999999991,317024
GUINEA,MALI,-12.224999999999994,12.11666666666666,320856
GUINEA,TOUGUE,-11.508333333333326,10.966666666666654,140382
GUINEA,DALABA,-12.083333333333343,10.308333333333323,151758
GUINEA,PITA,-12.675000000000011,10.341666666666654,311792
GUINEA,BEYLA,-8.400000000000006,8.049999999999997,366730
GUINEA,GUECKEDOU,-10.224999999999994,8.324999999999989,334636
GUINEA,LOLA,-8.308333333333337,7.949999999999989,192949
GUINEA,MACENTA,-9.375,7.85833333333332,310730
GUINEA,NZEREKORE,-8.849999999999994,7.791666666666657,442820
GUINEA,YAMOU,-9.224999999999994,7.258333333333326,129314
SIERRALEONE,KAILAHUN,-10.708333333333343,7.924999999999997,439730
SIERRALEONE,KENEMA,-11.216666666666669,7.766666666666666,502660
SIERRALEONE,KONO,-10.916666666666657,7.875,424799
SIERRALEONE,BOMBALI,-12.116666666666674,9.174999999999997,507530
SIERRALEONE,KAMBIA,-12.800000000000011,9.049999999999997,283522
SIERRALEONE,KOINADUGU,-11.35833333333332,8.98333333333332,329632
SIERRALEONE,PORTLOKO,-12.783333333333331,8.24166666666666,509494
SIERRALEONE,TONKOLILI,-11.85833333333332,8.599999999999994,432813
SIERRALEONE,BO,-11.76666666666668,7.73333333333332,492329
SIERRALEONE,BONTHE,-12.216666666666669,7.10833333333332,173794
SIERRALEONE,MOYAMBA,-12.349999999999994,7.208333333333329,258802
SIERRALEONE,PUJEHUN,-11.525000000000006,6.86666666666666,263583
SIERRALEONE,WESTERN,-13.241666666666674,8.416666666666657,743160
LIBERIA,BOMI,-10.746428571428567,6.676530459512037,129410
LIBERIA,BONG,-9.828628189042234,6.954418537708676,363673
LIBERIA,GBAPOLU,-10.099047619047639,7.26365162503356,92977
LIBERIA,GRANDCAPEMOUNT,-11.216812136325842,7.054494007989334,149628
LIBERIA,GRANDBASSA,-9.935984848484821,6.076961189099919,254527
LIBERIA,GRANDGEDEH,-8.136211011211003,6.058883610915615,137685
LIBERIA,GRANDKRU,-8.097222222222229,4.689481865284975,66323
LIBERIA,LOFA,-10.117156862745105,8.264007788806168,321223
LIBERIA,MARGIBI,-10.463750000000005,6.350812948226732,320669
LIBERIA,MARYLAND,-7.670544332211023,4.591490587020417,151412
LIBERIA,MONTSERRADO,-10.79395912966774,6.3253067298138745,1273057
LIBERIA,NIMBA,-8.704823327079424,7.052295561029794,569581
LIBERIA,RIVERCESS,-9.586904761904776,5.788111111111107,75642
LIBERIA,RIVERGEE,-8.010996055226826,5.243535705078628,96188
LIBERIA,SINOE,-8.521234153616689,5.193369001297015,113439
