adm2,pop,area,ADM0,ADM1,ID0,ID1,ID2,Centroid_Lon,Centroid_Lat,Weighted_Centroid_Lon,Weighted_Centroid_Lat,Pop
Bandundu,170567.55809020996,466680613.8747067,Democratic Republic of the Congo,Bandundu,63,2,7,17.366666666666674,-3.3666666666666742,17.379238555826646,-3.309866394289486,165665
Bas-Fleuve,702816.9017562866,9644695391.888885,Democratic Republic of the Congo,Bas-Congo,63,3,11,13.074999999999989,-5.466666666666669,12.977111486486507,-5.130969162995598,1487954
Bas-Uele,952734.7895593643,147870605896.78113,Democratic Republic of the Congo,Orientale,63,9,34,25.333333333333343,2.9666666666666544,25.521943527220373,3.2770324943571296,1322664
Boma,420608.21436691284,4960326101.605858,Democratic Republic of the Congo,Bas-Congo,63,3,12,12.808333333333337,-6.091666666666669,13.053467211544586,-5.840516382719358,529379
Bukavu,233664.12255859375,304886015.2873053,Democratic Republic of the Congo,Kivu,63,8,30,28.808333333333337,-2.6583333333333456,28.857173259286782,-2.5005907999164663,409864
Cataractes,951176.7671318054,23622800365.221,Democratic Republic of the Congo,Bas-Congo,63,3,13,14.416666666666657,-6.200000000000003,14.859281859300097,-5.2617855270057845,1948023
Équateur,1404583.1908124685,102604842001.35504,Democratic Republic of the Congo,Équateur,63,1,1,19.5,-0.5916666666666686,18.78815104166668,-0.2707324455205935,1241074
Haut-Lomami,2858672.739133358,109884762176.45534,Democratic Republic of the Congo,Katanga,63,6,23,26.125,-10.50833333333334,26.414797507788165,-8.21285936641641,1744399
Haut-Shaba,1826266.7295871973,123759107815.93283,Democratic Republic of the Congo,Katanga,63,6,24,27.85833333333332,-11.26666666666668,26.761360652857036,-10.96991266561885,1608197
Haut-Uele,5996838.474416256,91789630358.38876,Democratic Republic of the Congo,Orientale,63,9,35,29.44999999999999,2.8333333333333286,28.19040583136328,2.8447005330824737,2168850
Ituri,4005100.746878624,65155710905.903336,Democratic Republic of the Congo,Orientale,63,9,36,29.991666666666674,1.183333333333323,30.785176923663556,2.054849509413941,4234837
Kabinda,2412613.092063904,53006268109.97455,Democratic Republic of the Congo,Kasaï-Oriental,63,5,19,25.03333333333333,-6.39166666666668,24.066747532553705,-6.674133832719676,2292592
Kananga,250768.71020507812,902025861.3656292,Democratic Republic of the Congo,Kasaï-Occidental,63,4,16,22.46666666666667,-6.041666666666671,22.411120056993383,-5.89001185369159,784693
Kasaï,2720868.271884918,96629050133.44159,Democratic Republic of the Congo,Kasaï-Occidental,63,4,17,20.933333333333337,-6.050000000000011,20.796194727891162,-5.844798132909872,2876421
Kinshasa,7274071.7116930485,10978559269.164257,Democratic Republic of the Congo,Kinshasa City,63,7,29,15.824999999999989,-5.14166666666668,15.300186750330823,-4.371620465616104,9016276
Kisangani,1066917.967842102,1895496651.3577378,Democratic Republic of the Congo,Orientale,63,9,37,25.15833333333333,0.4583333333333286,25.20321660351061,0.5153555008881483,771519
Kolwezi,1084554.2136745453,44285468457.98952,Democratic Republic of the Congo,Katanga,63,6,25,26.066666666666663,-11.650000000000006,25.463509849883962,-10.712400486285617,813679
Kwango,1611799.9654045105,89014720459.68707,Democratic Republic of the Congo,Bandundu,63,2,8,17.974999999999994,-6.76666666666668,17.012752693917548,-6.156252797786195,2217119
Kwilu,4324447.9427948,80410147732.0352,Democratic Republic of the Congo,Bandundu,63,2,9,18.558333333333337,-4.9750000000000085,19.585926791277274,-4.911472159612657,5502658
Lualaba,839152.810005188,78952962571.70856,Democratic Republic of the Congo,Katanga,63,6,26,22.933333333333337,-11.13333333333334,23.07630353817504,-9.740403922786328,703281
Lubumbashi,406342.59295654297,870609379.8065414,Democratic Republic of the Congo,Katanga,63,6,27,27.48333333333332,-11.64166666666668,27.48382430795229,-11.663101699387056,1101886
Lukaya,597392.0893249512,15633928391.189098,Democratic Republic of the Congo,Bas-Congo,63,3,14,15.708333333333343,-6.108333333333334,15.481570512820497,-5.173395464429959,1017326
Lulua,2666113.1968688965,55495413752.67942,Democratic Republic of the Congo,Kasaï-Occidental,63,4,18,22.316666666666663,-6.76666666666668,22.87619301994303,-6.355183607798594,2619272
Mai-Ndombe,1464931.8889593855,125983991687.7286,Democratic Republic of the Congo,Bandundu,63,2,10,17.96666666666667,-2.9666666666666686,17.589396619496853,-2.6299043276108875,1900289
Maniema,1894985.1840934753,127683041737.80524,Democratic Republic of the Congo,Kivu,63,8,31,26.383333333333326,-4.1000000000000085,27.044969512195138,-3.633763227513228,2350410
Matadi,168989.42236328125,256429737.7256856,Democratic Republic of the Congo,Bas-Congo,63,3,15,13.491666666666674,-5.825000000000003,13.467656470477124,-5.825453363826128,372258
Mbandaka,69675.85684204102,757512705.8821825,Democratic Republic of the Congo,Équateur,63,1,2,18.291666666666657,-0.1916666666666771,18.275692953803087,0.04171047052645349,365938
Mbuji-Mayi,1980821.8918762207,242538709.19060993,Democratic Republic of the Congo,Kasaï-Oriental,63,5,20,23.599999999999994,-6.2250000000000085,23.601405761154496,-6.125881961216976,1324597
Mongala,1475550.3890533447,57539079964.42762,Democratic Republic of the Congo,Équateur,63,1,3,21.458333333333343,0.5083333333333258,22.369133771929825,2.2014530969479154,1839945
Nord-Kivu,4808559.289633274,59977937815.73899,Democratic Republic of the Congo,Kivu,63,8,32,28.69999999999999,-2.2750000000000057,29.189512291831875,-0.6728618199973226,6698179
Nord-Ubangi,1098323.7821464539,56033074867.56687,Democratic Republic of the Congo,Équateur,63,1,4,20.46666666666667,4.049999999999997,20.372222222222234,3.8828000907646754,1339889
Sankuru,2092821.8089904785,105223065116.90329,Democratic Republic of the Congo,Kasaï-Oriental,63,5,21,23.35833333333332,-4.558333333333337,23.883431438502072,-3.764260813571383,1977757
Sud-Kivu,3942631.976102235,63764404483.57005,Democratic Republic of the Congo,Kivu,63,8,33,28.17500000000001,-4.300000000000011,28.913496253702732,-2.8756124073069316,4906289
Sud-Ubangi,2034762.154006958,52282522496.53551,Democratic Republic of the Congo,Équateur,63,1,5,19.5,2.316666666666663,19.66709787404733,3.04755630780123,2574867
Tanganika,1934475.066020161,130232118002.41156,Democratic Republic of the Congo,Katanga,63,6,28,27.650000000000006,-8.341666666666669,27.72929687499999,-6.160669685741738,1797955
Tshilenge,927898.1750717163,10315939628.526133,Democratic Republic of the Congo,Kasaï-Oriental,63,5,22,23.48333333333332,-6.308333333333337,23.32636712976648,-6.272323810582478,1617602
Tshopo,1586034.5178451538,194929158924.89243,Democratic Republic of the Congo,Orientale,63,9,38,24.59166666666667,-1.1000000000000085,24.318848844282257,0.7137372935927431,1969909
Tshuapa,1077967.6326560974,134840148379.08882,Democratic Republic of the Congo,Équateur,63,1,6,21.758333333333326,-2.316666666666677,22.269047619047626,-0.545506770043275,1691605
