ADM0,area_adm0,mean_area_adm1,mean_area_adm2
AGO,1247425811230.06,69301433957.22557,7652919087.3009825
BDI,26935291535.479668,1584428913.8517451,202520988.98856893
CAF,620199666953.4714,36482333350.2042,12160777782.725672
COG,341732187076.7097,28477682256.392475,7119420564.07988
GAB,264549836271.77805,29394426252.419777,7149995575.19018
RWA,25277685439.106968,5055537087.821393,842589514.6502979
SSD,628102111150.0936,62810211115.00937,13957824692.224304
TZA,940576054329.9525,31352535144.331757,5139759859.726518
UGA,241440068207.28387,4162760533.4389434,1454458499.6352935
ZMB,750490448389.602,75049044838.9602,10423478449.829039
